"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count"
spring-boot-demo,"Mon, 6 Jun 2022 21:50:32 -0500",commons-io-2.6.jar,C:\Users\AMYEL\.m2\repository\commons-io\commons-io\2.6\commons-io-2.6.jar,"The Apache Commons IO library contains utility classes, stream implementations, file filters, file comparators, endian transformation classes, and much more.",https://www.apache.org/licenses/LICENSE-2.0.txt,467c2a1f64319c99b5faf03fc78572af,815893df5f31da2ece4040fe0a12fd44b577afaf,pkg:maven/commons-io/commons-io@2.6,cpe:2.3:a:apache:commons_io:2.6:*:*:*:*:*:*:*,CVE-2021-29425,CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"In Apache Commons IO before 2.7, When invoking the method FileNameUtils.normalize with an improper input string, like ""//../foo"", or ""\\..\foo"", the result would be the same value, thus possibly providing access to files in the parent directory, but not further above (thus ""limited"" path traversal), if the calling code would use the result to construct a path value.",NVD,MEDIUM,5.8,/AV:N/AC:M/Au:N/C:P/I:P/A:N,MEDIUM,4.8,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,HIGH,40
spring-boot-demo,"Mon, 6 Jun 2022 21:50:32 -0500",gson-2.8.6.jar,C:\Users\AMYEL\.m2\repository\com\google\code\gson\gson\2.8.6\gson-2.8.6.jar,Gson JSON library,"",310f5841387183aca7900fead98d4858,9180733b7df8542621dc12e21e87557e8c99b8cb,pkg:maven/com.google.code.gson/gson@2.8.6,cpe:2.3:a:google:gson:2.8.6:*:*:*:*:*:*:*,CVE-2022-25647,CWE-502 Deserialization of Untrusted Data,"The package com.google.code.gson:gson before 2.8.9 are vulnerable to Deserialization of Untrusted Data via the writeReplace() method in internal classes, which may lead to DoS attacks.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,29
spring-boot-demo,"Mon, 6 Jun 2022 21:50:32 -0500",jackson-databind-2.11.2.jar,C:\Users\AMYEL\.m2\repository\com\fasterxml\jackson\core\jackson-databind\2.11.2\jackson-databind-2.11.2.jar,General data-binding functionality for Jackson: works on core streaming API,"The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",14fd0effa4d1d3e09edb36423be82aff,ee08bbd8975dde844307fe8309dfcd5ec7ee129d,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.11.2,"cpe:2.3:a:fasterxml:jackson-databind:2.11.2:*:*:*:*:*:*:*, cpe:2.3:a:fasterxml:jackson-modules-java8:2.11.2:*:*:*:*:*:*:*",CVE-2020-36518,CWE-787 Out-of-bounds Write,jackson-databind before 2.13.0 allows a Java StackOverflow exception and denial of service via a large depth of nested objects.,NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,43
spring-boot-demo,"Mon, 6 Jun 2022 21:50:32 -0500",jakarta.el-3.0.3.jar,C:\Users\AMYEL\.m2\repository\org\glassfish\jakarta.el\3.0.3\jakarta.el-3.0.3.jar,"Jakarta Expression Language provides a specification document, API, reference implementation and TCK          that describes an expression language for Java applications.",EPL 2.0: http://www.eclipse.org/legal/epl-2.0 GPL2 w/ CPE: https://www.gnu.org/software/classpath/license.html,6bb54dbf912bf1b6c79592838db76b51,dab46ee1ee23f7197c13d7c40fce14817c9017df,pkg:maven/org.glassfish/jakarta.el@3.0.3,cpe:2.3:a:eclipse:jakarta_expression_language:3.0.3:*:*:*:*:*:*:*,CVE-2021-28170,CWE-917 Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),"In the Jakarta Expression Language implementation 3.0.3 and earlier, a bug in the ELParserTokenManager enables invalid EL expressions to be evaluated as if they were valid.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:P/A:N,MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,HIGH,38
spring-boot-demo,"Mon, 6 Jun 2022 21:50:32 -0500",log4j-api-2.13.3.jar,C:\Users\AMYEL\.m2\repository\org\apache\logging\log4j\log4j-api\2.13.3\log4j-api-2.13.3.jar,The Apache Log4j API,https://www.apache.org/licenses/LICENSE-2.0.txt,236b9969df6b394e88283a9f813b9b95,ec1508160b93d274b1add34419b897bae84c6ca9,pkg:maven/org.apache.logging.log4j/log4j-api@2.13.3,cpe:2.3:a:apache:log4j:2.13.3:*:*:*:*:*:*:*,CVE-2021-44228,CWE-502 Deserialization of Untrusted Data,"Apache Log4j2 2.0-beta9 through 2.15.0 (excluding security releases 2.12.2, 2.12.3, and 2.3.1) JNDI features used in configuration, log messages, and parameters do not protect against attacker controlled LDAP and other JNDI related endpoints. An attacker who can control log messages or log message parameters can execute arbitrary code loaded from LDAP servers when message lookup substitution is enabled. From log4j 2.15.0, this behavior has been disabled by default. From version 2.16.0 (along with 2.12.2, 2.12.3, and 2.3.1), this functionality has been completely removed. Note that this vulnerability is specific to log4j-core and does not affect log4net, log4cxx, or other Apache Logging Services projects.",NVD,HIGH,9.3,/AV:N/AC:M/Au:N/C:C/I:C/A:C,CRITICAL,10.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,HIGH,46
spring-boot-demo,"Mon, 6 Jun 2022 21:50:32 -0500",log4j-api-2.13.3.jar,C:\Users\AMYEL\.m2\repository\org\apache\logging\log4j\log4j-api\2.13.3\log4j-api-2.13.3.jar,The Apache Log4j API,https://www.apache.org/licenses/LICENSE-2.0.txt,236b9969df6b394e88283a9f813b9b95,ec1508160b93d274b1add34419b897bae84c6ca9,pkg:maven/org.apache.logging.log4j/log4j-api@2.13.3,cpe:2.3:a:apache:log4j:2.13.3:*:*:*:*:*:*:*,CVE-2021-44832,"CWE-20 Improper Input Validation, CWE-74 Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')","Apache Log4j2 versions 2.0-beta7 through 2.17.0 (excluding security fix releases 2.3.2 and 2.12.4) are vulnerable to a remote code execution (RCE) attack when a configuration uses a JDBC Appender with a JNDI LDAP data source URI when an attacker has control of the target LDAP server. This issue is fixed by limiting JNDI data source names to the java protocol in Log4j2 versions 2.17.1, 2.12.4, and 2.3.2.",NVD,MEDIUM,6.0,/AV:N/AC:M/Au:S/C:P/I:P/A:P,MEDIUM,6.6,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:H,HIGH,46
spring-boot-demo,"Mon, 6 Jun 2022 21:50:32 -0500",log4j-api-2.13.3.jar,C:\Users\AMYEL\.m2\repository\org\apache\logging\log4j\log4j-api\2.13.3\log4j-api-2.13.3.jar,The Apache Log4j API,https://www.apache.org/licenses/LICENSE-2.0.txt,236b9969df6b394e88283a9f813b9b95,ec1508160b93d274b1add34419b897bae84c6ca9,pkg:maven/org.apache.logging.log4j/log4j-api@2.13.3,cpe:2.3:a:apache:log4j:2.13.3:*:*:*:*:*:*:*,CVE-2021-45046,CWE-502 Deserialization of Untrusted Data,"It was found that the fix to address CVE-2021-44228 in Apache Log4j 2.15.0 was incomplete in certain non-default configurations. This could allows attackers with control over Thread Context Map (MDC) input data when the logging configuration uses a non-default Pattern Layout with either a Context Lookup (for example, $${ctx:loginId}) or a Thread Context Map pattern (%X, %mdc, or %MDC) to craft malicious input data using a JNDI Lookup pattern resulting in an information leak and remote code execution in some environments and local code execution in all environments. Log4j 2.16.0 (Java 8) and 2.12.2 (Java 7) fix this issue by removing support for message lookup patterns and disabling JNDI functionality by default.",NVD,MEDIUM,5.1,/AV:N/AC:H/Au:N/C:P/I:P/A:P,CRITICAL,9.0,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:H,HIGH,46
spring-boot-demo,"Mon, 6 Jun 2022 21:50:32 -0500",log4j-api-2.13.3.jar,C:\Users\AMYEL\.m2\repository\org\apache\logging\log4j\log4j-api\2.13.3\log4j-api-2.13.3.jar,The Apache Log4j API,https://www.apache.org/licenses/LICENSE-2.0.txt,236b9969df6b394e88283a9f813b9b95,ec1508160b93d274b1add34419b897bae84c6ca9,pkg:maven/org.apache.logging.log4j/log4j-api@2.13.3,cpe:2.3:a:apache:log4j:2.13.3:*:*:*:*:*:*:*,CVE-2021-45105,"CWE-20 Improper Input Validation, CWE-674 Uncontrolled Recursion","Apache Log4j2 versions 2.0-alpha1 through 2.16.0 (excluding 2.12.3 and 2.3.1) did not protect from uncontrolled recursion from self-referential lookups. This allows an attacker with control over Thread Context Map data to cause a denial of service when a crafted string is interpreted. This issue was fixed in Log4j 2.17.0, 2.12.3, and 2.3.1.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:N/A:P,MEDIUM,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,46
spring-boot-demo,"Mon, 6 Jun 2022 21:50:32 -0500",logback-core-1.2.3.jar,C:\Users\AMYEL\.m2\repository\ch\qos\logback\logback-core\1.2.3\logback-core-1.2.3.jar,logback-core module,"http://www.eclipse.org/legal/epl-v10.html, http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html",841fc80c6edff60d947a3872a2db4d45,864344400c3d4d92dfeb0a305dc87d953677c03c,pkg:maven/ch.qos.logback/logback-core@1.2.3,cpe:2.3:a:qos:logback:1.2.3:*:*:*:*:*:*:*,CVE-2021-42550,CWE-502 Deserialization of Untrusted Data,"In logback version 1.2.7 and prior versions, an attacker with the required privileges to edit configurations files could craft a malicious configuration allowing to execute arbitrary code loaded from LDAP servers.",NVD,HIGH,8.5,/AV:N/AC:M/Au:S/C:C/I:C/A:C,MEDIUM,6.6,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:H,HIGH,32
spring-boot-demo,"Mon, 6 Jun 2022 21:50:32 -0500",spring-boot-2.3.4.RELEASE.jar,C:\Users\AMYEL\.m2\repository\org\springframework\boot\spring-boot\2.3.4.RELEASE\spring-boot-2.3.4.RELEASE.jar,Spring Boot,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",d344958f6acd622e442372aaa02953a9,f23f14ae4062d5983db89b7c7336166b6734fc57,pkg:maven/org.springframework.boot/spring-boot@2.3.4.RELEASE,"cpe:2.3:a:vmware:spring_boot:2.3.4:release:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:2.3.4:release:*:*:*:*:*:*",CVE-2013-4152,"CWE-264 Permissions, Privileges, and Access Controls","The Spring OXM wrapper in Spring Framework before 3.2.4 and 4.0.0.M1, when using the JAXB marshaller, does not disable entity resolution, which allows context-dependent attackers to read arbitrary files, cause a denial of service, and conduct CSRF attacks via an XML external entity declaration in conjunction with an entity reference in a (1) DOMSource, (2) StAXSource, (3) SAXSource, or (4) StreamSource, aka an XML External Entity (XXE) issue.",NVD,MEDIUM,6.8,/AV:N/AC:M/Au:N/C:P/I:P/A:P,"","","",HIGH,29
